category|osm_id|lat|lon|name|amenity|shop|wheelchair|cuisine|toilets|toilets:wheelchair|tourism|alt_name|building|opening_hours|wikipedia|atm|outdoor_seeting|diet|diet:vegetarian|phone|denomination|transport|health|sport|accommo
6|N49519667|45.4362702|12.3407469|Albergo Locanda Silva|||||||guest_house||||||||||||||
66|N64778090|45.437190799999996|12.3345898|Venezia|||||||||||it:Venezia||||||||||
162|N228126141|45.4414285|12.3156126|Agip|fuel||||||||||||||||||||
54|N250421433|45.4446333|12.3255604|Scuola Ponentina|place_of_worship|||||||Scuola Spagnola|||||||||||||
54|N250421434|45.444759399999995|12.325821699999999|Scuola Levantina|place_of_worship||||||||||||||||||||
149|N250421435|45.445134700000004|12.327180699999998|Museo Ebraico|||||||museum|||Su-Fr 10:00-17:30||||||+39 041 715359|||||
54|N250421436|45.4453435|12.327348800000001|Bet Chabad|place_of_worship||||||||||||||||jewish||||
29|N250421437|45.444110200000004|12.3250505|Gam Gam|restaurant||limited|kosher||||||Su-Th 12:00-22:00, Fr 12:00-15:00|||||||||||
29|N250421438|45.4452495|12.3265967|Ristorante Upupa Ghetto Venezia|restaurant||||||||||||||||||||
152|N251501878|45.433685100000005|12.33377|Teatro La Fenice|theatre||no||||attraction||||it:Gran Teatro La Fenice|||||+39 041 786511|||||
46|N443122696|45.44154520000001|12.3227492|Banco San Marco|bank||yes|||||||Mo-Fr 08:30-13:30,14:45-16:05||yes|||||||||
34|N443122698|45.4416614|12.322874699999998|Farmacia Santa Lucia|pharmacy||limited||||||||||||||||||
46|N443122702|45.44188320000001|12.3328462||bank||limited|||||||||yes|||||||||
46|N443122704|45.4414619|12.333502000000001||bank||limited|||||||||yes|||||||||
34|N443122705|45.4414404|12.3335533|Farmacia Dr. Chiaro|pharmacy||no|||||||||||||+39 0415225970|||||
46|N443122706|45.440852|12.3347856||bank||limited|||||||||yes|||||||||
34|N443122707|45.4359883|12.335175099999999|Alla Vecchia e al Cedro Imperiale|pharmacy||limited||||||||||||||||||
105|N443122709|45.440385799999994|12.3276735|inCoop||supermarket||||||||Mo-Sa 08:30-20:00; Su 09:00-20:00||||||+39 041 2750218|||||
27|N443122710|45.4405562|12.3281032|Mayer|ice_cream||||||||||||||||||||
29|N443122712|45.440838299999996|12.328518699999998|La Zucca|restaurant|||Seasonal_Venetian_dishes_with_vegetarian_leanings.||||||Mo-Sa 12:30-14:30, 19:00-22:30|||||||||||
98|N443122713|45.4394104|12.334958||marketplace||||||||||||||||||||
161|N455034896|45.4379758|12.303954800000001|Tronchetto ferry|ferry_terminal||yes||||||||||||||||||
6|N492752820|45.4475105|12.326837699999999|Residenza Cannaregio|||||||hotel|||||||||+39 041 5244332|||||
29|N513683666|45.43939520000001|12.327894|Pizzeria Ristorante Ae Oche|restaurant||||||||||||||||||||
85|N534186287|45.4333469|12.325209|Ca Macane||yes||||||||Mo-Su 10:00-19:00||||||+39 041 2776142|||||
26|N534186289|45.4412456|12.334300599999999|McDonald's|fast_food||yes|burger|yes|||||Mo-Su 07:00-24:00|||||||||||
6|N549360944|45.4302305|12.3277725|Belle Arti|||||||hotel||||||||||||||
161|N562720322|45.437845|12.317337599999998|Piazzale Roma|||yes||||||||||||||||||
161|N562720335|45.4420386|12.308338699999998|Tronchetto|||yes||||||||||||||||||
13|N565563795|45.4368365|12.344218699999999|Questura|police||no||||||||||||||||||
161|N565563811|45.4409164|12.3220429|"Ferrovia ""B"""|ferry_terminal||yes||||||||||||||||||
29|N566311867|45.4290007|12.3286111|La Calcina|restaurant|||italian|||hotel||||||||||||||
21|N577787308|45.4446095|12.3231868|ITT F. Algarotti Sez. Palazzo Testa|school||||||||||||||||||||
34|N590057613|45.435570899999995|12.3459176|Croce di Malta|pharmacy||||||||||||||||||||
25|N626903399|45.434476700000005|12.3235246|Caffé Rosso|cafe||yes|regional||no|||||||||||||||
105|N626923862|45.4339856|12.324073599999998|Punto Simply Market||supermarket|yes||||||||||||||||||
105|N651278578|45.436876299999994|12.3398445|Coop||supermarket||||||||Mo-Sa 09:15-19:15; Su 11:00-19:15|||||||||||
82|N651279012|45.436307899999996|12.339383400000001|I tre Mercanti||deli|||||||||||||||||||
6|N664126493|45.435562299999994|12.336608|Gambero|||||||hotel||||||||||||||
29|N676820099|45.4359843|12.3425609|al Vecio Canton|restaurant|||pizza|||||||||||||||||
29|N676820100|45.4366597|12.341984|Osteria Ruga di Jaffa|restaurant|||osteria|||||||||||||||||
6|N676820101|45.436578499999996|12.3420422|Hotel al Piave|||||||hotel||||||||||||||
28|N676820102|45.4364138|12.342195199999999|al Canton|pub||||||||||||||||||||
29|N676820103|45.4365156|12.3421024|Trattoria agli Artisti|restaurant|||pizza|||||||||||||||||
29|N676820104|45.436322600000004|12.342176400000001|al Pozzo Reverso|restaurant|||osteria|||||||||||||||||
29|N676820105|45.4372624|12.340682699999999|Ristorante Al Burchiello|restaurant||||||||||||||||||||
6|N676820107|45.4368701|12.3415709|Casa Malipiero|||||||hotel||||||||||||||
6|N676820113|45.4374836|12.3413615|Hotel Scandinavia|||||||hotel|||||||||+39 041 5223507|||||
26|N676820116|45.4378095|12.3421387||fast_food|||kebab|||||||||||||||||
76|N676820117|45.437971000000005|12.3422748|Libreria Acqua Alta||books|||||||||||||||||||
29|N676820118|45.4377817|12.3421493|Enoteca Mascareta|restaurant|||osteria|||||||||||||||||
6|N676820119|45.4386011|12.3429176|Locanda SS. Giovanni e Paolo|||||||hotel||||||||||||||
29|N676820120|45.438475700000005|12.342855400000001|Osteria alla Staffa|restaurant|||italian|||||||||||||||||
29|N676820121|45.435661100000004|12.3451143|Osteria Oliva Nera|restaurant||||||||||||||||||||
6|N676820123|45.435767299999995|12.3446868|Hotel Liassidi Palace|||||||hotel||||||||||||||
25|N676820124|45.4355442|12.3455686|Da Aurelio|cafe||||||||||||||||||||
25|N676820125|45.435609299999996|12.345760499999999|Bar pasticceria Chiusso|cafe||||||||||||||||||||
29|N676820126|45.4356117|12.345849000000001|Trattoria da Jonny|restaurant|||italian|||||||||||||||||
29|N676820127|45.4353591|12.346621699999998|Osteria Ae Spezie|restaurant|||italian|||||||||||||||||
11|N676820131|45.4369406|12.345795599999999||library||||||||||||||||||||
29|N676820135|45.438648799999996|12.3435945|Antica Trattoria Bandierette|restaurant|||thai|||||||||||||||||
29|N676820137|45.4386312|12.3432985|Pizzeria alla Strega|restaurant|||pizza|||||||||||||||||
26|N676820138|45.438637899999996|12.3432439|Agorà Pizza Kebab|fast_food|||kebab;pizza|||||||||||||||||
26|N676820140|45.4385166|12.344809399999999|Guda|fast_food|||pizza|||||||||||||||||
23|N671952379|45.437909499999996|12.3330845|dai Zemei|bar||no|ostaria||||Osteria dai Zemei|||||||||||||
84|N762193658|45.4397373|12.3275828|||stationery|||||||||||||||||||
29|N762194307|45.440455799999995|12.3277962|Trattoria Taverna Capitan Uncino|restaurant|||||||||||||||+39 041 721901|||||
86|N762194309|45.44095|12.328534|Ferramenta al Megio||hardware||||||||||||||0415241225;3498789447|||||
29|N762194310|45.440424|12.3271594|Il Refolo|restaurant|||pizza||||||||||||+39 041 5240016|||||
85|N762194312|45.4406021|12.3281373|Tabacchi Da Massimo||tobacco;stationery|||||||||||||||||||
6|N762656040|45.4316384|12.333106800000001|Gritti Palace|||||||hotel|||||||||+39 041 794611|||||
29|N763199868|45.4409737|12.3254216|Pizzeria All'Anfora|restaurant|||pizza|||||||||||||||||
11|N765801527|45.428958200000004|12.344918|Fondazione Eni Enrico Mattei|library|||||||||||||||+39 041 2700411|||||
23|N772478012|45.4339972|12.323899800000001|Margaret Duchamp|bar||||||||||||||||||||
6|N789610970|45.440431|12.334763800000001|Foscari Palace|||||||hotel|||||||||+39 041 5297611|||||
105|N805049064|45.44788320000001|12.3252243|Conad City||supermarket|yes|||||||Mo-Su 08:00-20:30|||||||||||
6|N873547653|45.437931|12.3374743|Bartolomeo|||||||hotel|||||||||+39 041 5235387|||||
161|N892563314|45.4402936|12.306552|Tronchetto|ferry_terminal||yes||||||||||||||||||
6|N894708637|45.4329159|12.3341744|Saturnia|||||||hotel|||||||||+39 041 5208377|||||
